"","variety","treatment","flower","freshWeight","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001","GmWMC109","W1",0,138.005,0.33460114890909,0.379587173957913,0.107612916207879,NA,-0.0859619718411316,0.241179905362564,-0.158314884075346,0.681531829541578,0.457866876006097,0.143280505224912,0.377233997404588,NA,-48.8070554110191
"W1-002","GmWMC020","W1",0,159.68,0.353655397219885,0.481575135718225,0.186894217880029,NA,-0.0684405338958373,0.45970455994729,-0.128112949152694,0.945880216731551,0.533463545130638,0.21470280672993,0.611620647670237,NA,-44.331590145568
"W1-003","GmJMC033","W1",0,98.37,0.375483652684777,0.424607877488439,0.0687729101686697,NA,-0.0716756332067589,0.147703962482616,-0.133763635889335,0.791627933641451,0.478997392975384,0.0999912269460679,0.291545485917543,NA,-46.9408137242574
"W1-004","GmWMC140","W1",1,115.525,0.436882419103279,0.396890108255681,-0.0218673540720028,NA,-0.123636813905132,-0.042798811381662,-0.220065438182717,0.722748247284112,0.491036727858456,0.0573395015496635,0.16535536797537,NA,-67.6614046509496
"W1-005","GmJMC057","W1",1,96.565,0.362629006103693,0.351085544654588,-0.00101311355978509,NA,-0.125512261582643,-0.00202417639901298,-0.223031353574334,0.61635968137787,0.453239262884514,0.0908407195066746,0.260685374586946,NA,-77.8633445279324
"W1-006","GmWMC120","W1",1,183.24,0.28052887716358,0.39275604860501,0.166441882966817,NA,-0.0395199161520533,0.399353040938594,-0.0760349275450002,0.71278127624383,0.435830182805686,0.214394140104686,0.514495430401164,NA,-26.2382527527563
"W1-007","GmWMC132","W1",0,202.65,0.263496614848512,0.384811661695626,0.176677031076981,NA,-0.0804465807598162,0.429180376949986,-0.14891357368773,0.69383974782681,0.456379504234294,0.229264805181406,0.604080533932434,NA,-49.4163049927425
"W1-008","GmJMC095","W1",1,168.385,0.295079198805286,0.533429567142496,0.321064203777803,NA,0.0224455599666845,0.945786658684081,0.0459218619022989,1.10441802021073,0.532472691496303,0.348017466194946,0.946629364843626,NA,-0.218460808109258
"W1-009","GmJMC090","W1",0,183.145,0.27007668845245,0.496936796330134,0.296112959790606,NA,-0.0021010104686554,0.841364999993515,-0.00419321095719249,0.990843072985021,0.503999564264663,0.355168916725755,0.88875581677714,NA,-10.4013596154207
"W1-010","GmWMC142","W1",1,62.175,0.283638018226649,0.280772371946241,0.0102359159694911,NA,-0.15042253905782,0.0206835718123479,-0.261508291193225,0.468205157027689,0.410210643862552,0.0879951538057722,0.288754102043649,NA,-111.467262218471
"W1-011","GmJMC104","W1",0,178.105,0.278646654411838,0.531210965928976,0.338846658645495,NA,0.00142024711113402,1.02501685297786,0.00284453416369645,1.09721896976131,0.532147550174576,0.39565412698969,0.995762113026975,NA,-9.62145207899971
"W1-012","GmWMC010","W1",0,150.9,0.294679266141585,0.443461139392861,0.18802468341011,NA,-0.0183263457244407,0.463129141651385,-0.0359930688547272,0.840664716952848,0.468267361807061,0.220088166169219,0.558519090880273,NA,-17.774186184966
"W1-013","GmWMC035","W1",0,150.435,0.30058130174834,0.518317960238225,0.283221415689942,NA,-0.0247795518616007,0.790262223865155,-0.0483607456216311,1.05616319584202,0.537661949480703,0.319798148182241,0.859139230333868,NA,-23.2653852173205
"W1-014","GmWMC157","W1",1,79.165,0.36972560533176,0.331604729366591,-0.0666169219873729,NA,-0.17038696903414,-0.12491236231514,-0.291163237009549,0.573613058756514,0.467678711849422,0.0564075534265218,0.154878741038825,NA,-115.827005398804
"W1-015","GmWMC185","W1",1,267.465,0.3204011597931,0.506096717174239,0.25718197639172,NA,0.0282782093799172,0.692449478116979,0.0582022748751412,1.01842150585898,0.50773255471007,0.261983178867129,0.665113466875053,NA,3.74338290512491
"W1-016","GmWMC124","W1",0,242.185,0.321011021644713,0.467917926568131,0.192327955470729,NA,-0.0387677962273584,0.476252629274421,-0.074641890440914,0.907184096784177,0.510213161803735,0.254992637298622,0.617827300379643,NA,-25.1351791175411
"W1-017","GmJMC034","W1",0,203.21,0.328974250572916,0.54630384700087,0.281058123691822,NA,0.00709889998008993,0.781866162347867,0.014299309398053,1.14700869022721,0.55722941918918,0.30490877025274,0.85663547379025,NA,-6.09032207445072
"W1-018","GmWMC135","W1",1,278.955,0.305308904820735,0.443642433624428,0.205632962347974,NA,-0.0494900274403541,0.517727832604384,-0.0943125254101888,0.841145406190949,0.495716157225677,0.261049822384431,0.61291581916948,NA,-33.2118327047394
"W1-019","GmWMC066","W1",0,213.48,0.301133682327506,0.571490070897915,0.356464323460462,NA,0.00280835133722346,1.10783080551886,0.00563252077168808,1.23464824215991,0.578806007872493,0.434591327185789,1.10988202799871,NA,-9.50655781285444
"W1-020","C1290","W1",1,129.07,0.329252726279362,0.533165598824451,0.29510433564379,NA,-0.167273112616388,0.837299465542812,-0.286604927001041,1.10355949615126,0.628110339223111,0.40134834977451,1.11034379448747,NA,-95.9402424268612
"W1-021","GmWMC178","W1",1,281.015,0.274848178106521,0.514042028124259,0.311359930104958,NA,0.00565081512125055,0.904274902415017,0.0113658570367189,1.04283190753356,0.516522458412037,0.380663713528772,0.909825386068287,NA,-7.16114444633864
"W1-022","GmJMC101","W1",1,238.79,0.305668425801865,0.565286695153349,0.353058156136228,NA,-0.00874562151562732,1.09146798737777,-0.0173395974745093,1.21250153043662,0.580455222659776,0.443899276917456,1.1300830219394,NA,-15.6197902214106
"W1-023","GmWMC084","W1",0,140.85,0.276425273221282,0.486685947841747,0.289120319064516,NA,-0.119751495882036,0.813415623103239,-0.213889390696367,0.960665689347626,0.562303639595991,0.379649642792874,0.990300260402321,NA,-65.8854803777821
"W1-024","GmWMC038","W1",0,120.025,0.263366007899233,0.440526443288724,0.237360682634735,NA,-0.0655487283550246,0.62247168519823,-0.123032811609501,0.832908321571044,0.493647907402153,0.280637750775802,0.780781142558314,NA,-44.1187975943779
