"","variety","treatment","flower","freshWeight","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001","GmWMC109","W1",0,138.005,0.223351714568222,0.471975130303047,0.281952345610337,0.233980106989578,0.00140041324788795,0.785330461108992,0.00280475446845685,0.918558736002196,0.474855132185213,0.283871289804232,0.773737068456294,0.182924069656669,-9.64770479031142
"W1-002","GmWMC020","W1",0,159.68,0.238831138055801,0.53081179512804,0.335589066287234,0.377645597988244,0.0377641648872216,1.01018532981483,0.0784925376484006,1.09592799222669,0.509532637983263,0.328630373424294,0.940166007527561,0.304084621170072,6.41892579809295
"W1-003","GmJMC033","W1",0,98.37,0.196154746523928,0.432258303051191,0.259127728297052,0.256987619883781,-0.00212388150461588,0.699520654758554,-0.0042387603844487,0.811302746629613,0.441171087697734,0.24159521810951,0.703580062522849,0.182019547578782,-12.4330088528668
"W1-004","GmWMC140","W1",1,115.525,0.21702064678105,0.439882295679184,0.246394296411478,0.21513651729666,-0.0228582231425807,0.653907736977624,-0.0446948021794779,0.83121205216363,0.462697671459615,0.253736128565727,0.686769618282464,0.179976750000284,-24.1435601493987
"W1-005","GmJMC057","W1",0,96.565,0.204008629797844,0.383220628872361,0.196026926669636,0.166251821253545,-0.0337070511234474,0.487645623103508,-0.0652158664714215,0.690079238887172,0.441380768968319,0.218839830513821,0.602330797394602,0.165074640241307,-28.4240588690149
"W1-006","GmWMC120","W1",0,183.24,0.207214508195525,0.47876121249801,0.304557749626181,0.290042578818871,0.0292955921476138,0.875867837454188,0.060359450129259,0.937811678207061,0.463785069220117,0.318879984876812,0.838188121064291,0.20393149272546,3.21009142861663
"W1-007","GmWMC132","W1",0,202.65,0.19246464406863,0.451535820621615,0.290070764532827,0.273580960490249,0.0184063730279166,0.817182192368637,0.0375030410185011,0.862249740508934,0.460554503440479,0.301717985505647,0.820476529913777,0.175561519698939,-1.55842006409458
"W1-008","GmJMC095","W1",1,168.385,0.225247248484387,0.574983880210727,0.39980221858438,0.48925592585682,0.0528176318972983,1.33223490977061,0.111525792024818,1.24729150974148,0.54073775488881,0.415583907122541,1.21187183599112,0.327133554514128,12.8767081113729
"W1-009","GmJMC090","W1",0,183.145,0.201264023957437,0.542880310950818,0.385093704331277,0.478611020534447,0.0853784836325918,1.25252817580332,0.186696862272714,1.1355444150246,0.488356994554087,0.404619483677732,1.05084429560002,0.295074108883262,27.5774287629754
"W1-010","GmWMC142","W1",1,62.175,0.198907480366759,0.311375418525525,0.134398960550718,0.199731288569022,-0.0915594658014613,0.310533274472863,-0.167759004331607,0.530650095973235,0.399141708075813,0.153536204916205,0.469327050546787,0.249588600709096,-67.5315357439967
"W1-011","GmJMC104","W1",0,178.105,0.225140305226973,0.567003519664747,0.387411872386065,0.547291183186885,0.0452240059188703,1.26483637185414,0.0947321805307717,1.21859269266264,0.53694940870909,0.419971740957889,1.17883715711791,0.393000212464546,7.65180003148402
"W1-012","GmWMC010","W1",0,150.9,0.195901116193428,0.454263951802949,0.288679425877697,0.391119434782964,0.032321543741997,0.811671841488664,0.0668022425824726,0.869624876072471,0.441474762501654,0.271760243360704,0.753090051811081,0.295444244067151,5.29014118593233
"W1-013","GmWMC035","W1",0,150.435,0.224820381385586,0.528208935739602,0.34413474162238,0.491768284336357,0.0432351329669708,1.04940683238489,0.090377761921247,1.08754162849918,0.505960564925691,0.337222399477538,0.964038895362987,0.370567716129535,8.88054739162012
"W1-014","GmWMC157","W1",1,79.165,0.233528963311854,0.35987965671431,0.152325444692764,0.280485992479291,-0.101609548563485,0.359396068694794,-0.184474642229495,0.636123590327205,0.470528890240225,0.200037960403746,0.545773530219224,0.344943492780786,-70.0501383024488
"W1-015","GmWMC185","W1",1,267.465,0.22554159674756,0.541565987023902,0.357771264030032,0.500883357327702,0.0439644141045305,1.11415526584834,0.0919723381705533,1.13117021855016,0.518736164531922,0.380868149528943,1.02725613046623,0.381744302855786,8.58362988909397
"W1-016","GmWMC124","W1",0,242.185,0.221256420162134,0.531950316138043,0.35386644054683,0.502855909637372,0.0191500748330049,1.09533534314136,0.0390479204841004,1.09961358229524,0.525830096342688,0.379067570056805,1.07543389046452,0.378648299126069,-3.14017578922078
"W1-017","GmJMC034","W1",0,203.21,0.20730152794463,0.578972669102108,0.417370447212357,0.531012886966733,0.0676550198443592,1.43271293127996,0.145128726564421,1.26187959102912,0.516659199893334,0.412588893471885,1.23326537372535,0.336336348471723,20.5471922270134
"W1-018","GmWMC135","W1",0,278.955,0.216212473096629,0.516791014957537,0.336766758368239,0.477077440569811,0.0304507934169724,1.0155305366291,0.0628143331966089,1.05138666654719,0.504261316744419,0.362667561739647,0.955606726453111,0.367281820418409,2.82983216214363
"W1-019","GmWMC066","W1",0,213.48,0.226158267554904,0.602828531736094,0.424999104254576,0.547946076006617,0.0751922563683797,1.47825547868261,0.162611655673053,1.35275701518227,0.542116967129961,0.45795373438241,1.27010393362041,0.365307379638204,22.2344680823586
"W1-020","C1290","W1",1,129.07,0.275303977725293,0.607826369313329,0.388472327023815,0.5590842690991,-0.0105655472643628,1.27049794863148,-0.0209101671691938,1.37263585980294,0.589886858912525,0.418933648804676,1.21293901555157,0.44920735977731,-17.9330354232444
"W1-021","GmWMC178","W1",0,281.015,0.216617964478198,0.538974316461674,0.357276360982001,0.48309456939595,0.0370894524157045,1.11175733796838,0.0770361328136924,1.12258829093063,0.512526406496929,0.384149328610061,1.03851919979076,0.338184871661184,5.0326393257773
"W1-022","GmJMC101","W1",1,238.79,0.245819724750158,0.608703640904701,0.412779380457271,0.567942978129234,0.0224499157427152,1.40587495302431,0.0459309780731532,1.37615703248715,0.576769120481021,0.450832317734063,1.29488096170476,0.412511945185903,-1.45068684792292
"W1-023","GmWMC084","W1",0,140.85,0.236187766206079,0.530677750958799,0.330995342876016,0.433656278935721,-0.0380334960475668,0.989515814398822,-0.0732798994501566,1.09549476652523,0.54187632635398,0.374564782230416,1.04243932063675,0.352894044290108,-30.4996920897294
"W1-024","GmWMC038","W1",0,120.025,0.202902947152541,0.453864855150331,0.278621445057688,0.347468879642786,-0.0118203786561354,0.772469442427406,-0.0233645791396984,0.86854333085691,0.473727168052886,0.268928081943697,0.811867161453872,0.278507248084064,-18.7093307146639
"W1-025","GmJMC064","W1",0,168.595,0.206693727535033,0.525185112161539,0.356441934251786,0.377403965363635,0.0289309611549172,1.10772269578042,0.0595858077195962,1.0778672646401,0.50805208629736,0.374200918241298,1.03156576617249,0.245010079847197,1.51890953624968
"W1-026","GmWMC141","W1",1,84.83,0.184651899723744,0.288630944754201,0.1139116597738,0.181690298600119,-0.104547921567143,0.257111293767212,-0.18930445574296,0.483961043070708,0.384149017838525,0.15361250036848,0.451716542893372,0.238421482864033,-70.8752853419536
"W1-027","GmJMC047","W1",0,105.32,0.186135720687617,0.350170539974917,0.183534652234006,0.210339945583096,-0.0559372563324802,0.449583445852766,-0.105948068404677,0.614320355074532,0.413286879599001,0.200381124835184,0.564422924064589,0.191193925091883,-38.8835297126335
"W1-028","GmJMC077","W1",0,195.145,0.236831573351915,0.590613026805209,0.402839761162944,0.260837077367156,0.0508252030449051,1.34918480824329,0.107093452561003,1.30542224786898,0.542997471716114,0.42148111181749,1.1891162147807,0.0746951237178982,11.4410012859197
