"","variety","treatment","flower","freshWeight","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001","GmWMC109","W1",1,138.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-002","GmWMC020","W1",1,159.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-003","GmJMC033","W1",0,98.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-004","GmWMC140","W1",1,115.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-005","GmJMC057","W1",1,96.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-006","GmWMC120","W1",1,183.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-007","GmWMC132","W1",1,202.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-008","GmJMC095","W1",1,168.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-009","GmJMC090","W1",0,183.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-010","GmWMC142","W1",1,62.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-011","GmJMC104","W1",1,178.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-012","GmWMC010","W1",0,150.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-013","GmWMC035","W1",0,150.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-014","GmWMC157","W1",1,79.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-015","GmWMC185","W1",1,267.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-016","GmWMC124","W1",1,242.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-017","GmJMC034","W1",0,203.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-018","GmWMC135","W1",1,278.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-019","GmWMC066","W1",1,213.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-020","C1290","W1",1,129.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-021","GmWMC178","W1",1,281.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-022","GmJMC101","W1",1,238.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-023","GmWMC084","W1",1,140.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-024","GmWMC038","W1",0,120.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-025","GmJMC064","W1",1,168.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-026","GmWMC141","W1",1,84.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-027","GmJMC047","W1",1,105.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-028","GmJMC077","W1",1,195.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-029","GmWMC042","W1",0,50.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-030","GmWMC125","W1",1,206.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-031","GmWMC187","W1",1,116.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-032","GmWMC188","W1",1,166.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-033","GmJMC032","W1",1,122.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-034","GmJMC145","W1",1,128.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-035","Tachiutaka","W1",1,135.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-036","GmJMC126","W1",1,154.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmJMC068","W1",1,234.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-038","GmJMC085","W1",1,308.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-039","GmJMC079","W1",0,223.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-040","C1329","W1",1,211.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-041","GmWMC048","W1",1,141.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-042","GmWMC089","W1",0,150.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-043","GmWMC138","W1",1,85.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-044","GmJMC137","W1",1,237.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-045","5002T","W1",1,144.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-046","GmWMC143","W1",1,251.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-047","GmJMC053","W1",0,184.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-048","GmWMC171","W1",1,191.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-049","GmWMC094","W1",1,154.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-050","GmWMC074","W1",1,163.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-051","GmJMC013","W1",0,59.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-052","GmJMC105","W1",1,197.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-053","GmJMC055","W1",0,116.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-054","GmJMC008","W1",0,89.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-055","GmWMC107","W1",0,114.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-056","GmWMC122","W1",0,264.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-057","GmWMC072","W1",1,182.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-058","GmJMC002","W1",0,68.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-059","GmJMC116","W1",1,205.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-060","GmJMC044","W1",0,201.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-061","GmJMC017","W1",1,149.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-062","GmJMC040","W1",1,232.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-063","GmWMC045","W1",1,213.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-064","GmWMC182","W1",1,222.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-065","GmJMC096","W1",1,258.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-066","GmWMC162","W1",1,158.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-067","GmWMC136","W1",1,197.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-068","GmJMC025","W1",0,150.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-069","GmJMC063","W1",1,194.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-070","GmJMC100","W1",1,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-071","C1322","W1",1,32.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-072","GmWMC014","W1",1,64.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-073","GmWMC155","W1",1,116.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-074","GmWMC190","W1",1,124.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-075","GmJMC056","W1",1,149.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-076","GmWMC127","W1",1,84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-077","GmWMC075","W1",0,142.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-078","GmWMC070","W1",0,119.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-079","GmWMC183","W1",1,128.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-080","GmWMC018","W1",0,128.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-081","GmWMC148","W1",1,172.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
