"","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W4-149",0.29854175184652,0.415641893937881,0.140396798500624,0.0523729577003399,0.0756700405485583,0.326654899041174,0.163729498919338,0.768944113273073,0.37644777414092,0.0803266237926963,0.168297077913998,0.232879549339429,22.1111107656111
"W4-150",0.304751702819538,0.422835526466395,0.13772894105988,0.0626644200391261,-0.0177310283722123,0.319456261603915,-0.0348195509049286,0.787112903558958,0.433910509783427,0.161537946603821,0.326702005362698,0.242102090919229,-13.3686858146954
"W4-151",0.284814339252842,0.435583921365968,0.16713396118165,-0.0173626463001673,-0.0764401042040182,0.401346567485991,-0.142023660171236,0.819974322739816,0.46623438218768,0.267861615571509,0.482766997116442,0.118983667399589,-35.7609256665037
"W4-152",0.313003903885279,0.439749613167126,0.163327328140265,0.0988465173516889,0.0242552036109295,0.390421089712957,0.049716285858127,0.830862927298122,0.461412132565751,0.258128021113992,0.455715774746651,0.227563197227453,3.95593984167167
"W4-153",0.319119168619147,0.405200310006956,0.126550059274764,-0.118428209501312,-0.144003112258326,0.289770605902584,-0.251753007863861,0.743018111442882,0.526444253841581,0.316048206878617,0.520817424144989,0.0624038119489492,-63.7242242084244
"W4-154",0.281355516745429,0.320165179949084,0.0484999677516413,-0.206253661651363,-0.201546581936297,0.10194422723673,-0.335478598942879,0.549145454707687,0.500982147387343,0.24999749516832,0.438312247131164,0.0377754926571735,-94.5308502107482
"W4-155",0.280693674938063,0.351172545024163,0.0926155311667779,-0.127479579064098,-0.128623384482209,0.204137351581231,-0.227929681859674,0.616553749975013,0.435957952153316,0.21299790445106,0.390478022663853,0.0683903024412735,-49.1037882939568
"W4-156",0.303173584476911,0.44361347449503,0.166005838959401,-0.0164884505854041,-0.0335590007641492,0.398098472828481,-0.0649361224611962,0.841068623589407,0.483992358442356,0.259097350362383,0.438201323903518,0.125997030690259,-16.1960469246992
"W4-157",0.310499482694449,0.439175055675486,0.152075751559562,0.0541280233130931,0.0343173387444059,0.358701268041975,0.0710737390682483,0.829352201660762,0.433177827638032,0.225325715600286,0.378964848779551,0.194709949559747,4.13955389480101
"W4-158",0.282595059775613,0.391257764822788,0.134693277112873,-0.0789304592926203,-0.16436106528538,0.311319777446585,-0.282319383972678,0.709187809530914,0.512353013064551,0.343017679205428,0.5314057813735,0.0725866390595319,-76.8529387635118
"W4-159",0.276638252913032,0.347678534200982,0.0913403095143003,-0.204224064478639,-0.224256305782217,0.201044044257046,-0.366355157368672,0.608782333317542,0.516799597423346,0.319780278356605,0.529899032907524,-0.0106466629382075,-106.348676558775
"W4-160",0.279851692425676,0.342226069280083,0.0834276489825174,-0.213832316272699,-0.273149089078808,0.182042691752385,-0.429092070083396,0.596746332114037,0.568813719893016,0.374214130125171,0.579677969593368,-0.00443210297670684,-120.719911033394
"W4-161",0.305631660608163,0.372862750043532,0.0868750319686116,-0.195489474851732,-0.253381398136751,0.190292935989618,-0.404315840863445,0.665866150048939,0.588013540611201,0.362403848786344,0.589012998618542,0.0403121573746377,-115.31078075706
"W4-162",0.284789481932087,0.38541893315027,0.133512552251301,0.0311983639660318,-0.196903181388568,0.308169874213942,-0.329021014077457,0.69527803449023,0.533136448684584,0.398123107957361,0.564380843760796,0.150285001937916,-90.0228947724437
"W4-163",0.295377078861138,0.397175282435041,0.135214818754503,0.00728861865533097,-0.108108772899097,0.312713191881914,-0.195123033561676,0.723438615378053,0.516053540475746,0.315068601283658,0.508916979647187,0.157593953072868,-45.5669458935591
"W4-164",0.277645268602942,0.372926431091198,0.120026313884151,-0.0434131864754213,-0.140154222131111,0.272795311186858,-0.24585127599314,0.66600743323062,0.467222556833266,0.270609399939924,0.45699904056725,0.122961122329623,-58.6411104776665
"W4-165",0.285305228835278,0.388866552540419,0.132108359426687,0.00415708852785632,-0.111100656784643,0.304435156648709,-0.19998047240315,0.703473220942082,0.464394667915751,0.265599157603374,0.461630981103419,0.155041194628235,-49.1334725722776
