"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-024","GmJMC025","W1",0.208237195419398,0.256276665149452,0.414170758178801,0.404123509827199,0.509960158269122,0.593792503728042,0.629138591133339,0.669165055735548,0.724394776951518
"W1-025","GmJMC061","W1",0.232716275019046,0.262937676093827,0.453993798402997,0.46580228712083,0.530543972664385,0.615877773980081,0.665943468787359,0.709851637556948,0.736534478412683
"W1-026","GmJMC133","W1",0.227196418910559,0.226321648129911,0.360091859389375,0.323220435272629,0.391065260275685,0.494856769622537,0.501308898161423,0.572055736571987,0.638265966523777
"W1-027","GmJMC111","W1",0.2721978004792,0.309288611568281,0.44325619326612,0.455123380389059,0.567003393503635,0.623109597220316,0.697465089191394,0.732479054744968,0.7445622903997
"W1-028","GmWMC138","W1",0.268302481827895,0.325462242221704,0.462290947017568,0.48628321587524,0.613583597070796,0.666624361334577,0.74198591816878,0.765943740667612,0.771694041886149
"W1-029","GmJMC034","W1",0.33825817052169,0.429421071395861,0.635445787944833,0.612152053302414,0.629684370962549,0.697476329261655,0.724227227734378,0.731967743679914,0.734415181170123
"W1-030","GmWMC084","W1",0.269483917508793,0.327377898285015,0.477790467247706,0.45125261473474,0.5920111025454,0.652003785972782,0.682754636524672,0.674907831169436,0.727648757152012
"W1-031","GmWMC024","W1",0.230257013222605,0.248592529725296,0.452592539695664,0.452055380425515,0.595322340195718,0.611275884053529,0.660830027906523,0.691472627084985,0.722000610749613
"W1-032","GmJMC049","W1",0.197944136584396,0.18673302204127,0.337255597837922,0.351068979635185,0.475653922921901,0.5504472032635,0.628519603075043,0.699574576726491,0.727172308991977
"W1-033","GmWMC165","W1",0.209360746350485,0.238162036489011,0.408294601447837,0.399436943060353,0.54582340333866,0.588904478580244,0.649006421363334,0.681823889308664,0.727032650238129
"W1-034","GmWMC176","W1",0.23975696073842,0.302787685134307,0.439003410041151,0.42382488906237,0.620708873594514,0.660786626281386,0.722142157115659,0.735611667869001,0.748369535197051
"W1-035","GmWMC189","W1",0.188858961276475,0.179398364456421,0.257419204083564,0.253321537604358,0.274030709195934,0.346740165008082,0.454384731177329,0.52677488216248,0.605906796281414
"W1-036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",0.35166790380984,0.415771182628993,0.555174862347296,0.52295648630762,0.599832665068608,0.66080127602955,0.683828112986553,0.696799262802414,0.716730946797479
"W1-038","GmWMC146","W1",0.185012395907268,0.283047570414133,0.436378007728371,0.39982944303148,0.555739160660598,0.629063166620421,0.674050735989286,0.717392315732118,0.745288726034714
"W1-039","GmJMC099","W1",0.263780918823035,0.250734042719483,0.322236740680531,0.341333923549641,0.424724268465675,0.475700548620059,0.543116020092131,0.602124590486335,0.68545712559743
