"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-055","GmJMC056","W1",-0.149841751114172,-0.272442444806092,-0.105772715570494,-0.0927506021954009,-0.106956429684628,-0.0258974333166678,0.0340946842387291,0.0280481143026632,0.0611531689475617
"W1-056","GmWMC166","W1",-0.149222209933593,-0.264018270938439,-0.0833208341658776,-0.08457578513022,-0.110297415241672,-0.0300939603146095,0.02758124597269,0.0281716291939727,0.0652033764039371
"W1-057","Houjaku Kuwazu","W1",-0.127203930954903,-0.195408620297268,0.0221713208432381,0.00681542093217937,0.0250657946004187,0.0657671159355081,0.119358117291669,0.109761838679695,0.100603635266866
"W1-058","GmWMC163","W1",-0.23747576465612,-0.320636196183467,-0.0330374516971165,-0.0213297780080535,-0.0857977751532134,0.00598116385705001,0.0497292641875021,0.0223217444013081,0.0483624457843463
"W1-059","GmJMC095","W1",-0.213017564185508,-0.305951075164041,-0.0245203835412791,-0.0226932430838612,-0.00352615220580659,0.0358193892958034,0.0854467056055674,0.0945283650036208,0.0946843450676989
"W1-060","GmJMC172","W1",-0.222107072821457,-0.249626476318708,0.0146878020317357,0.010463709109641,0.0213918991326641,0.0534008468878894,0.112858698186532,0.111076846753662,0.097037559868107
"W1-061","GmJMC003","W1",-0.0972181981010623,-0.267813977917919,-0.00662837515362319,-0.00590159405818409,-0.0526355051891097,-0.0101545966547526,-0.0109447771030158,-0.00501222449631613,0.016705643547664
"W1-062","GmWMC174","W1",-0.191101100349588,-0.340537201303883,-0.0950575488733476,-0.102756771474752,-0.0794021455179198,-0.0286389786370813,0.0651798561249112,0.0644093084290127,0.0926852809477066
"W1-063","GmJMC085","W1",-0.0940508811236058,-0.213089963517211,0.00462670722479589,-0.00902988245404269,0.00205345462428314,0.0709867694523605,0.130129389490059,0.106710738854894,0.103454027991378
"W1-064","GmJMC078","W1",-0.14444165438136,-0.315172738963214,-0.0199746888255337,-0.0482379085475152,-0.0338550444202867,0.0240862236463748,0.104710498496745,0.08347298713614,0.0896734522990194
"W1-065","GmJMC179","W1",-0.12908059065383,-0.190380128702412,0.0318767160593772,0.020599082889884,0.00287911151965137,0.0726877937474801,0.109014018990572,0.0934546166628438,0.111943716560543
"W1-066","GmWMC119","W1",-0.0815559860855471,-0.262051171432742,0.0427235420990218,0.0243480024380229,0.0188746259252203,0.0796390052426847,0.119455628345213,0.121154165184639,0.097089648094416
"W1-067","GmJMC126","W1",-0.0689697692518011,-0.251985998980459,-0.00274517065171367,-0.0220096134784743,-0.00443840517920345,0.0515770896632859,0.0967591156406674,0.111462903738557,0.114316362996675
"W1-068","GmWMC182","W1",-0.178458310001797,-0.346210739253924,-0.113617298451363,-0.121333992395541,-0.0921834801095601,-0.0237315386436593,0.0632743649551871,0.0674863810378094,0.0865441589019915
"W1-069","GmWMC019","W1",-0.183819448345792,-0.376022412412021,-0.0535848345916451,-0.0957685136306765,-0.0592383732520827,0.0165041680209066,0.0471366072941681,-0.00408310434563381,0.0571047920817846
"W1-070","GmJMC177","W1",-0.079195672571275,-0.209187414161956,0.0217628820537566,-0.00873423883801293,-0.00179651897978443,0.0389530040180595,0.112211845364119,0.0561863042730407,0.0904150756177555
"W1-071","GmWMC127","W1",-0.116163586773766,-0.302558694386241,-0.0308300242435452,-0.0283784377545848,-0.00446813904997467,0.0460767347614795,0.10339131051112,0.104182529000427,0.121275828040612
"W1-072","GmWMC115","W1",-0.108049298038635,-0.283230158730688,0.0127878218357685,-0.0336972763979125,-0.0948042348292605,0.0257936875025782,0.0377739353815053,0.0209442808608088,0.0684544649729217
"W1-073","GmWMC038","W1",-0.272778178381484,-0.384405510093073,-0.130032113622028,-0.143426058064744,-0.200641776189394,-0.0943974623905168,-0.0828608920229489,-0.104752666287894,-0.0135563259917265
"W1-074","GmJMC021","W1",-0.102075785372173,-0.265591173305265,-0.0034341862534788,-0.0165251968816462,-0.0587611749193233,0.0308600796012971,0.0677250739372218,0.0703012238529397,0.0938802572089776
"W1-075","GmWMC160","W1",-0.145659478627576,-0.347857403998986,-0.125728786573061,-0.11552579575369,-0.131486667095741,-0.0469647563324414,0.0141652591632215,0.00620467312520105,0.0443345583003431
"W1-076","GmJMC055","W1",-0.12576824418144,-0.302632088272246,0.00885441091007363,-0.0237406946759851,-0.0276896553059911,0.0403939060270901,0.0755450325767427,0.0678964185282625,0.109265734238886
"W1-077","GmWMC046","W1",-0.0494212114833197,-0.179649104126157,0.0147563041102694,-0.0266053162414895,-0.0469452940446079,0.019008681714293,0.00972724287483425,-0.00959326982115765,0.031600931295074
"W1-078","GmJMC030","W1",-0.159876571459276,-0.318708322245809,-0.0371871810297224,-0.0906098506228359,-0.0657668634126453,0.00514035421605193,0.0344860594888341,0.025176277477993,0.0570247723240777
"W1-079","GmWMC070","W1",-0.0811408352354819,-0.341951041107157,-0.0192294577878346,-0.0617159617300085,-0.0120365980691886,0.0390786930542242,0.0502332563518216,0.0199715471471675,0.0387836118213008
"W1-080","GmJMC092","W1",-0.144822743013629,-0.136273778210711,0.0463504584129868,-0.00337833464665919,0.0283020337780452,0.0726558383932946,0.114477219546773,0.0981973151093489,0.12518988465878
"W1-081","GmJMC180","W1",-0.0216885973527072,-0.254070319566322,-0.0202593542748317,-0.0615702481400597,-0.0249646065559087,0.0322356409276063,0.0786488821655018,0.0531505389281155,0.0862687253097296
"W1-082","GmJMC104","W1",-0.136364857467271,-0.220624169342428,0.0118977202047869,-0.0337241980329232,-0.0297603883154862,0.0537501017046217,0.0913732438063655,0.0994586954918444,0.105819775924003
"W1-083","GmWMC089","W1",-0.105808017452708,-0.235158257270157,-0.00181061597838935,-0.037012281780312,-0.0583065084167524,0.0452495764335182,0.0479427556816989,0.0615600087066,0.0932115657401583
"W1-084","5002T","W1",0.0496325276847129,-0.292778049260866,-0.022121427003272,-0.111827679760756,-0.0740362693525657,0.0131066301278611,0.047025946210107,0.0600887004982921,0.106067663727028
"W1-085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-086","GmWMC156","W1",-0.162684055967309,-0.23243499602366,-0.0268501103808285,-0.0781691625167774,-0.0636741671071965,0.0304809180613477,0.0503487691921922,0.0437876174875848,0.0544301715772256
"W1-087","GmJMC096","W1",-0.13960244317309,-0.200696824670705,0.0111036344799899,-0.0402807420944012,-0.00814735803218404,0.0623075153172088,0.107167234595287,0.0927258407906127,0.117691894337251
"W1-088","GmJMC093","W1",-0.135319671241418,-0.139430091566502,0.0269923423644113,-0.0270502220504357,0.0245664502363664,0.0742499773567755,0.116693523504002,0.102335025716846,0.124529678935999
"W1-089","GmWMC169","W1",-0.0696062759358336,-0.0925440919156996,0.0486228514944822,-0.00102218861053652,0.0348091599900626,0.0850845011199644,0.0921069079578251,0.0861306317350214,0.0936225561249554
