"","variety","treatment","flower","freshWeight","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001","GmJMC121","W1",1,86.94,0.177285673381845,0.60201512220614,0.485215755394202,0.612400631312606,0.0999630679711364,1.88512278873555,0.222131035769387,1.34955041517831,0.543975421718378,0.291554235856723,1.6739359410793,0.342677282370469,68.9739002652477
"W1-002","GmJMC037","W1",0,104.085,0.179320794565999,0.643849726350636,0.532973274898577,0.621037427964661,0.141128760686066,2.28241017591801,0.328637761345461,1.52574822045262,0.563427190851977,0.350775673110553,1.97119067196787,0.304847990954057,104.357961004903
"W1-003","GmJMC067","W1",0,122.895,0.131775019701061,0.472201123575133,0.395032122230621,0.432306008399061,0.0570526869606493,1.30596065261241,0.12100927840126,0.919195275042806,0.454978815433286,0.242272773930561,1.24661237222919,0.189276781536111,31.9749595801028
"W1-004","GmJMC091","W1",0,204.945,0.221570839830852,0.673825820919854,0.547448088518834,0.624415927512939,0.128249270755905,2.41938250454884,0.29423381352858,1.66854474641454,0.610748526030358,0.373019568564858,2.14246887835766,0.360754427079274,87.1676716297059
"W1-005","GmJMC039","W1",0,88.46,0.14383110339244,0.53478552780096,0.459082053900173,0.518951974093639,0.111583867472742,1.69741846137769,0.251197301326174,1.10883783328625,0.475773922285197,0.282544820970983,1.52727974710888,0.228972413217191,80.4385947016315
"W1-006","GmJMC130","W1",0,173.92,0.142484159867108,0.507594890094522,0.438292728908384,0.431525341437361,0.102317064776139,1.56057345690616,0.227958137024459,1.02298899964831,0.464232023437861,0.282194241575971,1.40589266020372,0.175600993273861,72.1037535901596
"W1-007","GmJMC043","W1",0,163.345,0.157982230747747,0.587752572209326,0.502745827002098,0.551178330503829,0.123444108980776,2.02208791938215,0.281657131613861,1.29458496978013,0.526667192583981,0.344443925790023,1.7869267179498,0.243844925711158,80.7923589012109
"W1-008","GmJMC116","W1",0,145.92,0.11008094414134,0.46308376147487,0.401064669638416,0.43074864177994,0.0950743037148023,1.3392586788837,0.210126210594065,0.893760754405077,0.402231825734793,0.214676878327532,1.1754827161234,0.155512003513073,66.1557975852148
"W1-009","GmJMC126","W1",0,189.27,0.236802235000124,0.729267403013501,0.593625388779149,0.717916017552298,0.149601697848556,2.92156730458997,0.351839126371902,1.98212721722303,0.653649195959689,0.452663627876083,2.56888210169787,0.401320078091477,101.946677906513
"W1-010","GmJMC028","W1",0,143.18,0.16551627143165,0.555409701701142,0.451052812500982,0.532650647335647,0.105769599606408,1.64333773427585,0.236560062283771,1.17800862089057,0.490013283211592,0.259525017284828,1.43455148584886,0.284784875133384,73.0230633333047
"W1-011","GmWMC176","W1",1,118.77,0.246159325802213,0.664095327415054,0.508301301981027,0.656981185879566,0.0997125788197849,2.06753161828203,0.221512766959049,1.62045658693383,0.609218022677223,0.31049859866387,1.86392932531107,0.438483181559801,66.3354346396131
"W1-012","GmWMC119","W1",0,162.445,0.187072513427377,0.668623416434328,0.566969801642561,0.66924542060016,0.139507874853527,2.61861553209535,0.324251369133168,1.64261457524403,0.594706015139223,0.456370789577004,2.32658065106973,0.336692451999795,88.3207179768711
"W1-013","GmWMC132","W1",0,191.445,0.179862645701784,0.627272451194165,0.518284488448076,0.587590978301983,0.137526493123516,2.15182810610855,0.318911818073452,1.45303295960562,0.543765220463389,0.374511713017528,1.85565325414195,0.288238459603086,87.0807055860394
"W1-014","GmWMC011","W1",0,204.13,0.133627201896317,0.548082301614217,0.476114366672293,0.526912719403352,0.114914877493683,1.81762711700273,0.259669662434898,1.15300476257182,0.478140165933474,0.273125825349879,1.56862269851406,0.211088331507586,83.8909168571091
"W1-015","GmWMC140","W1",1,111.45,0.141900988645546,0.472474426253207,0.405459380663271,0.440389400124899,0.0611486708929218,1.36394173089093,0.130262735121666,0.91996612389238,0.438748843921317,0.234637335726416,1.26630860912516,0.202837764702039,34.7258164796605
"W1-016","GmJMC078","W1",0,92.045,0.141639944230983,0.520882131341698,0.439254387583832,0.51799195776686,0.0933621390109784,1.56667972499481,0.205952438630114,1.06422455675701,0.46811242701236,0.272975911578407,1.40499872828414,0.230946293373973,58.5672101557532
"W1-017","GmWMC042","W1",0,74.675,0.143403060585591,0.501527188466872,0.422088370113802,0.473798554577679,0.0756992856547539,1.46073674860888,0.163797965443059,1.00458989866242,0.46559903993177,0.26011996688911,1.33574800505723,0.210959880671692,45.5267269762395
"W1-018","GmWMC084","W1",0,116.61,0.164896120401803,0.551591886415661,0.453428168701652,0.509179346573122,0.113877007273622,1.65917138384954,0.257023030359658,1.16492009391204,0.487247304618762,0.256762330664947,1.42040890865483,0.231396384719086,78.9167584126174
"W1-019","GmJMC058","W1",0,136.18,0.157697657679198,0.520139937370275,0.402781921372898,0.450890910920886,0.103195739746443,1.3488604440737,0.230141056014309,1.06188600154881,0.462191422452534,0.212785437004886,1.14715320861281,0.194858083747226,73.2628858894543
"W1-020","GmWMC086","W1",0,46.605,0.126102655266101,0.373560177928829,0.281054745442745,0.288456752527554,0.0456528508865436,0.78185307774604,0.0956734692927055,0.667476371216845,0.340034300039769,0.113476554245919,0.666700270662986,0.11847773586158,26.5374011421521
"W1-021","GmJMC021","W1",0,107.175,0.160470060535905,0.55471008555882,0.460078401605438,0.526595409221116,0.117636277978888,1.70424152584406,0.266638972310005,1.17560014406641,0.485830884700327,0.292790672182884,1.45191128312351,0.221960770853471,77.4639027881531
"W1-022","GmWMC171","W1",0,118.995,0.188750413709124,0.575219910547479,0.443749624464072,0.558169049606416,0.0953518682800541,1.59550319057865,0.210804322557474,1.24815014647108,0.514819898214774,0.262312003588928,1.41495947885397,0.330084035881659,60.9469003395463
"W1-023","GmWMC125","W1",1,111.225,0.141773406367865,0.501323841134013,0.419719071564581,0.520734164219847,0.0789454479578626,1.44660646592763,0.171424043848059,1.0039776701352,0.456928063268811,0.257556548712889,1.29378848512243,0.265459150004525,47.9954416447447
"W1-024","GmWMC155","W1",1,47.435,0.0989571082754694,0.33999117318622,0.286251835368234,0.357715111349882,0.0198427629437238,0.802108782617261,0.0404889384696339,0.591844751080739,0.329587011641019,0.139802313925795,0.77181481156911,0.187885768415298,0.145409802072637
"W1-025","GmWMC138","W1",0,66.575,0.166343408643065,0.522337530456261,0.424315538793357,0.505276573442412,0.071795659390573,1.47412538672173,0.154697961184923,1.06882283442702,0.479685781741438,0.235404544876865,1.31761695485113,0.286417094883772,44.7774886474379
"W1-026","5002T","W1",0,119.49,0.1492249452687,0.546767944753698,0.456109256288636,0.529730714698795,0.110694061087223,1.67720911437569,0.248944837189669,1.14857070228226,0.470012528818333,0.262278885383256,1.43790068361171,0.254675162400826,78.2977018597323
"W1-027","GmWMC165","W1",0,116.215,0.121865260742411,0.504195065122535,0.421810816140992,0.484944208243092,0.0992026148865123,1.45907543961794,0.220255112918625,1.01264720338824,0.433456171771503,0.233221986304463,1.27047579466882,0.220478436170699,68.9757571205037
"W1-028","GmWMC124","W1",0,134.825,0.124023813433481,0.491443215233357,0.423586355830498,0.490390752041837,0.0943016420456773,1.46973049880272,0.20824072667628,0.974582514638464,0.432049710568295,0.24224040366261,1.29706046440688,0.229536592078774,66.5516983385443
"W1-029","GmJMC060","W1",0,167.705,0.103796528623965,0.437953451292631,0.384647593129935,0.426266131749014,0.0679492988330099,1.25017011217842,0.14580601414674,0.826146007421764,0.388884984598428,0.210270523236833,1.13207676534544,0.201251650094877,41.67647594714
"W1-030","GmJMC105","W1",0,151.25,0.150746934933512,0.562281069105743,0.481348530299965,0.555934635181242,0.118896296448025,1.85615411676511,0.269880369342198,1.20190681218077,0.495098512541771,0.31409864091554,1.62740950735855,0.26467287437912,80.2394642867344
"W1-031","GmJMC128","W1",0,90.095,0.0976462191134445,0.471746369972575,0.433331931178159,0.469289162495669,0.091124136521616,1.52940306570084,0.200520534136025,0.917914689633051,0.417497696408335,0.234558918348213,1.36151349826903,0.181474053160526,65.0679857705782
"W1-032","GmJMC131","W1",0,150.68,0.131771919311491,0.501573941811136,0.420591417171395,0.486734084848325,0.0826572408157145,1.45179560550559,0.180210155883749,1.00473051746112,0.443276216153485,0.234112621530963,1.2751915563799,0.246564699397787,55.3868156814432
"W1-033","GmWMC024","W1",0,47.105,0.0947244550745803,0.372772861995691,0.312113883058175,0.365438721631031,0.0470285412721978,0.907458009025556,0.0986987403273965,0.665651424278163,0.343458414213049,0.140310690417006,0.82232708550669,0.184358004535481,24.2486623246571
"W1-034","GmWMC144","W1",1,23.575,0.0429632204684362,0.278880663580396,0.273034850191567,0.235010671457063,0.00685954787302451,0.751163519361323,0.0138138525287812,0.464440228904855,0.288966954430411,0.135480338868203,0.751302060488949,0.0537874725935176,-13.3926031805693
"W1-035","GmJMC033","W1",0,52.58,0.0367287873541371,0.330928944870169,0.330311170400624,0.291951138548963,0.00801113707241626,0.986461753102606,0.0161516847548102,0.572154994054119,0.348531650483862,0.168527898524607,1.01043381260009,0.0201836400911321,-19.5616770813842
