"","variety","treatment","flower","freshWeight","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001","GmWMC152","W1",1,206.415,0.231275080369914,0.40622259803487,0.190019448814787,0.342087597789527,-0.0396648906209622,0.469195162195522,-0.0763032124231557,0.74553364751137,0.456310084957933,0.161489114433854,0.599928823479746,0.383714070906724,-39.7272721858684
"W1-002","GmJMC008","W1",0,34.71,0.183792100879118,0.218159422803208,0.0456948585358643,0.141573544258681,-0.156644625044984,0.0957657186703835,-0.270860398135024,0.348923241170323,0.361493049763812,0.0916630466992334,0.357226293152889,0.279877440286891,-134.931190451655
"W1-003","Tachiutaka","W1",0,118.71,0.19080348044665,0.347881720502687,0.166625458184493,0.285866111775146,-0.0554679006390675,0.399881326337687,-0.10510580173025,0.609233052113109,0.411967024306593,0.141077805274379,0.532574030379108,0.297615326098933,-51.9261124616786
"W1-004","GmWMC185","W1",1,213.945,0.259632930556723,0.459363978747417,0.228544836992559,0.41601702359685,-0.0363105909934814,0.592503227541053,-0.0700766571509638,0.883526226241308,0.512195316877624,0.187778092820577,0.689501751481086,0.444593472493052,-38.6246214747764
"W1-005","GmJMC110","W1",1,231.915,0.345191392780148,0.60114484652466,0.323772778384811,0.591652511806377,-0.0128472121861815,0.957585758264715,-0.025368509744824,1.34612850969826,0.615350076424621,0.254604046316605,0.960752404188577,0.610779548083043,-25.7556887033938
"W1-006","GmJMC053","W1",0,108.38,0.229755303005372,0.345716467520745,0.137319925465593,0.271077412900702,-0.0565794135189169,0.318356589648149,-0.107099211226536,0.604438445444699,0.437132025942098,0.132625613823904,0.495914966115021,0.360193556017867,-53.3717603632925
"W1-007","GmWMC035","W1",0,88.625,0.276461310523551,0.49277776182782,0.249248130625091,0.461293742877502,-0.0405097487815789,0.663996031170622,-0.0778650725044884,0.978514038625042,0.531316119106087,0.205643521021292,0.753205667590615,0.474670328938138,-42.5744398282228
"W1-008","GmJMC059","W1",1,194.295,0.264975715376601,0.543582706480128,0.328359189528153,0.515961212230562,-0.00757076450908439,0.977782133419308,-0.0150277527764655,1.1378884973149,0.559120985025666,0.268372950418815,0.999214102954986,0.461233080012731,-22.798828506826
"W1-009","GmWMC006","W1",0,170.08,0.202887211481235,0.387105421643787,0.201505921196743,0.35007939910492,-0.0326485066439668,0.504714879035171,-0.0632325644861912,0.699280410126205,0.437614968857193,0.163365790151364,0.604221420653619,0.354660441850284,-37.7219688425015
"W1-010","GmJMC005","W1",0,140.56,0.228757869162345,0.497062198848888,0.303337762745488,0.467512476717222,0.00301083364271758,0.870831726942547,0.00603990576279811,0.991216665218816,0.508978776016882,0.246262061415445,0.897509720941109,0.417306808428817,-13.0243409089602
"W1-011","C1322","W1",1,189.955,0.260272559541088,0.530493931468262,0.312808743743989,0.502941514835691,0.0012448743121308,0.910398001903649,0.00249285717791237,1.09490090569646,0.542549873774984,0.250573047386237,0.954473191187566,0.469569877858647,-15.2516805330615
"W1-012","GmJMC068","W1",1,181.285,0.227347366056787,0.454212847557941,0.25697667924237,0.40815943422416,-0.0068265750044715,0.691705618207745,-0.0135605682663804,0.869486339432841,0.478019216688799,0.1981505996101,0.750776884789931,0.377734659788218,-19.1153799525831
"W1-013","GmJMC017","W1",1,123.4,0.266089910015387,0.513940322708893,0.293655047231302,0.478918545058926,-0.0102769278028249,0.831477737359733,-0.0203447621811322,1.04251640115258,0.539787430272897,0.230060034452542,0.869078572447541,0.45083226127365,-23.9909850403774
"W1-014","GmJMC052","W1",0,124.795,0.205066323069281,0.345868963787364,0.170209029840163,0.313317327229783,-0.0592830183655765,0.410246693761963,-0.111930454184435,0.604777245763333,0.428840608254592,0.148233988166516,0.555905743585628,0.343836217412051,-55.7010276953663
"W1-015","GmWMC036","W1",0,55.25,0.23632969653169,0.440187824192214,0.226226614852987,0.383330653349761,-0.0610705926218405,0.584736097662507,-0.115111271665609,0.83201633596328,0.493943632076271,0.178882428498103,0.693027284534984,0.381630177743217,-62.2769501908599
"W1-016","GmJMC077","W1",1,179.755,0.285840846472362,0.5399286990074,0.304973174659611,0.51123118663986,-0.00602157874448428,0.877586829433537,-0.0119710725231489,1.12574200889447,0.561350644761322,0.252124982967352,0.919338037023367,0.494412380105355,-19.9344020100591
"W1-017","GmWMC164","W1",1,257.27,0.323148481563494,0.583998608372636,0.314431877544457,0.54846027679315,-0.0211597402820292,0.917288503639904,-0.0414425597735874,1.28050012627205,0.596869481310529,0.261289657406497,0.949547023461276,0.555049462306998,-28.8986013603287
"W1-018","GmWMC072","W1",1,198.68,0.229318530083509,0.402052425157001,0.19574625845153,0.341796517061466,-0.0513222432293536,0.486777364752198,-0.0976337056689807,0.735302647241345,0.472690572207084,0.168851464550238,0.63601611741416,0.384495591192594,-48.3255492756077
"W1-019","GmWMC086","W1",0,99.13,0.182103042735796,0.334334895363332,0.167719010004119,0.275383848238678,-0.0344516225208377,0.403034580923745,-0.0666084579327374,0.579520509094603,0.386014343570988,0.132639952986743,0.502679053393928,0.279168973500018,-37.9241124651896
"W1-020","GmJMC009","W1",0,67.455,0.185228793435765,0.332179956620676,0.165875854281742,0.275425987390221,-0.054722606998447,0.397724626102988,-0.103766811136771,0.574855524771066,0.39151062360678,0.132423920039067,0.514636051291292,0.288205502143173,-54.6820233606141
