"","variety","treatment","18","19","20","24","25","27","31","40","47","50","52","54","55","56","61"
"W1-001","GmJMC121","W1",-0.102587956335106,-0.0892564730438352,-0.0960415737041471,-0.0681644767421261,-0.0765168129514808,-0.0807124346748727,-0.0521821105340841,-0.00884242829899358,0.0598535169481953,0.0810374317225528,0.0999630679711364,0.116036299986766,0.107759907738773,0.126187235649745,0.156544947939108
"W1-002","GmJMC037","W1",-0.0640815439192843,-0.0644026753805527,-0.0576445122952717,-0.0622036053570874,-0.0624500836042097,-0.0339414283406245,-0.023988157919518,0.028580732820882,0.0991547942510843,0.129656712017743,0.141128760686066,0.157596827180123,0.155719378614538,0.160882468750967,0.190631846635944
"W1-003","GmJMC067","W1",-0.0783808692789864,-0.0487509534738936,-0.0657612492594439,-0.0416400924207931,-0.0655169273605071,-0.0377459716646032,-0.0405741748783042,-0.00132573968055279,0.0540616506575754,0.0580325044558309,0.0570526869606493,0.0799654667517295,0.0815667857473849,0.0952645760713763,0.147058877870686
"W1-004","GmJMC091","W1",-0.0451498843806127,-0.0390481215365368,-0.0303209009448922,-0.0272914570054153,-0.039268891747296,-0.0104818296026002,-0.00263461383615005,0.0636621512529062,0.106772194256335,0.112252102857026,0.128249270755905,0.134779965928202,0.133828393473066,0.147416668551791,0.179502893820398
"W1-005","GmJMC039","W1",-0.0864642749412424,-0.0809114919249678,-0.0835924348167893,-0.0714478452858504,-0.0611649318184677,-0.0371050149560696,-0.0152891192369673,0.0126317195391657,0.0798669614521226,0.102401648444709,0.111583867472742,0.140688958225534,0.134142884979961,0.141131031288535,0.166314635333584
"W1-006","GmJMC130","W1",-0.0765420250057216,-0.0852949569978746,-0.0953753211076231,-0.065916753898695,-0.0582970838420609,-0.0279178508984955,-0.0245250343298894,0.0348228552686304,0.0880925265575409,0.0871701005945277,0.102317064776139,0.120106666220957,0.127941357517899,0.132991923964458,0.173296076718713
"W1-007","GmJMC043","W1",-0.0995455304523884,-0.0916457348434872,-0.129970880431718,-0.0697927068677422,-0.0591812193695667,-0.0397407954247767,-0.0455547881844873,0.024427875192827,0.0953402517025252,0.113999599194177,0.123444108980776,0.131896932584496,0.131774245277073,0.136539154269849,0.165523979171643
"W1-008","GmJMC116","W1",-0.0793372685445527,-0.0934955006923406,-0.101621836673084,-0.100460408107677,-0.0793626915631274,-0.067863977036752,-0.0413881256677512,5.61223599989401e-05,0.0707009692624676,0.090302488455547,0.0950743037148023,0.122608607219765,0.116406773448887,0.124973374827267,0.167195123080034
"W1-009","GmJMC126","W1",-0.0726850685774153,-0.0687477020764684,-0.0757312158158502,-0.0536392840863374,-0.0453140381076218,-0.0326737844750433,-0.0090340909327524,0.0610303551807396,0.120891352653886,0.138622487005088,0.149601697848556,0.159418714530751,0.151828907266155,0.156988524643472,0.195394031543217
"W1-010","GmJMC028","W1",-0.0801435271638156,-0.0861666835459368,-0.105453910879476,-0.0747329993805515,-0.0693880768466554,-0.0464991775568913,-0.042031447141985,0.0230376135899265,0.0824230269248774,0.0921905118724667,0.105769599606408,0.122324932427226,0.124345449771238,0.126558923836274,0.1780639113963
"W1-011","GmWMC176","W1",-0.06495573087789,-0.0770397514354903,-0.0900559438943653,-0.0713961590550058,-0.0641366082850831,-0.0635182187119722,-0.0313000486658992,0.0167107054377765,0.0744275086647465,0.0883828374592206,0.0997125788197849,0.104207419082834,0.112907334247997,0.117543144262264,0.153941271436478
"W1-012","GmWMC119","W1",-0.0564884271073333,-0.0703711077937612,-0.0553581793781066,-0.0633590984449632,-0.0524504506749209,-0.0254404271364017,-0.0175461458246647,0.0748042838978693,0.115037577508257,0.131166809054157,0.139507874853527,0.150097730979361,0.148249894956248,0.154485446427433,0.178731873328334
"W1-013","GmWMC132","W1",-0.0716804771870868,-0.0765242404987443,-0.0644641304218868,-0.0649802580217229,-0.060439464845734,-0.0364678165606076,-0.00970290144660998,0.0661087147851369,0.110677534372401,0.127718151441602,0.137526493123516,0.148050516172467,0.142286465973391,0.14770072894454,0.1797685896302
"W1-014","GmWMC011","W1",-0.0569234040965197,-0.0640833643514572,-0.0769273093885274,-0.0945431527269107,-0.0626148461341803,-0.0463970037318642,-0.0126156394465884,0.0418166636725865,0.0900454229792811,0.105729837315561,0.114914877493683,0.134087899099466,0.126934314568601,0.140453544153985,0.180600837223306
"W1-015","GmWMC140","W1",-0.100991269504398,-0.0835831663593916,-0.0978891408074897,-0.092897606002923,-0.0765019046870861,-0.101216241212186,-0.089852180888664,-0.0247080365197722,0.0485287294478511,0.0516134145653278,0.0611486708929218,0.0804573508528273,0.0799816034347566,0.0925904006233029,0.137876829415525
"W1-016","GmJMC078","W1",-0.0782293502883673,-0.0814289217735509,-0.103855596959435,-0.10210483913489,-0.104379408704741,-0.0665401552114533,-0.0538701598690234,0.0205995177667429,0.0721138090709779,0.0854084592191697,0.0933621390109784,0.111397284554242,0.10775312788888,0.119611362968844,0.162062584892607
"W1-017","GmWMC042","W1",-0.0879480625586682,-0.0786743500405932,-0.102373667352748,-0.106821665414407,-0.0597051092374373,-0.0705927875446978,-0.0411539100701153,0.011059371649218,0.0673276638887404,0.0732343585290187,0.0756992856547539,0.0905148588297399,0.0875300135308116,0.0946451712550395,0.121130934283932
"W1-018","GmWMC084","W1",-0.0721545611195671,-0.0721304728668078,-0.0988886007009187,-0.0732457681800572,-0.0452121605001308,-0.0381485999068973,-0.0406898035284131,0.039527798845383,0.0971770382333345,0.115662517738881,0.113877007273622,0.133501999629437,0.129813070344811,0.136955453719021,0.167564096907661
